CODCASIO;ART_PRE
MTP-1375D-7A2;119
MTP-1381D-2A;93
MTP-1381D-3A;93
MTP-1381D-8A;93
MTP-1381GD-7A;169
MTP-1381L-7A;88
MTP-1384D-1A;109
MTP-1384D-2A;109
MTP-1384D-7A;109
MTP-1384D-7A2;109
MTP-1384L-1A;103
MTP-1384L-7A;103
MTP-B145D-2A2;108
MTP-B145D-3A;108
MTP-B145D-4A;108
MTP-B145D-7B;108
MTP-B145G-9A;138
MTP-B145SG-1A;178
MTP-B145SG-7A;178
MTP-B146D-1A;116
MTP-B146D-7A;116
MTP-B146G-3A;144
MTP-B146G-9A;144
MTP-B180D-1A1;154
MTP-B180D-2A;154
MTP-B185B-7A;192
MTP-B185D-2A2;146
MTP-B185D-7A;146
MTP-B195D-1A;180
MTP-B195D-2A;180
MTP-B195D-3A;180
MTP-B195D-7A;180
MTP-B195L-1A;180
MTP-B195RG-2A;250
MTP-E112L-7A;92
MTP-E510D-1A2;171
MTP-E510D-7A;171
MTP-E515D-1A;171
MTP-E515D-2A1;171
MTP-E515D-8A;171
MTP-E700B-7E;164
MTP-E725L-5A;138
MTP-E725L-8A;138
MTP-M306D-1A;205
MTP-M306D-2A;205
MTP-M306D-7A;205
MTP-M306M-4A;205
MTP-RS105M-7B;182
MTP-V001D-1B;42
MTP-V001D-7B;42
MTP-V001G-9B;63
MTP-V001GL-1B;40
MTP-V001GL-7B;40
MTP-V001GL-9B;40
MTP-V001L-1B;37
MTP-V001L-7B;37
MTP-V002D-1B;50
MTP-V002D-1B3;50
MTP-V002D-2B3;50
MTP-V002D-7B;50
MTP-V002D-7B3;50
MTP-V002G-1B;71
MTP-V002G-7B2;71
MTP-V002GL-1B;45
MTP-V002GL-7B2;45
MTP-V002L-1B;42
MTP-V002L-1B3;42
MTP-V002L-2B3;42
MTP-V002L-7B2;42
MTP-V002L-7B3;42
MTP-V004D-1B;52
MTP-V004D-1B2;52
MTP-V004D-1C;52
MTP-V004D-2B;52
MTP-V004D-7B;52
MTP-V004D-7B2;52
MTP-V004D-7C;52
MTP-V004G-7B;73
MTP-V004G-9B;73
MTP-V004GL-7A;48
MTP-V004GL-9A;48
MTP-V004L-1B2;45
MTP-V004L-1C;45
MTP-V004L-7A;45
MTP-V005D-1B4;46
MTP-V005D-1B5;46
MTP-V005D-2B4;46
MTP-V005D-7B;46
MTP-V005L-1B;40
MTP-V005L-1B4;40
MTP-V005L-7B;40
MTP-V006D-1B;52
MTP-V006D-1B2;52
MTP-V006D-1C;52
MTP-V006D-2B;52
MTP-V006D-7B2;52
MTP-V006D-7C;52
MTP-V006G-1C;70
MTP-V006G-7B;70
MTP-V006L-1B;47
MTP-V006L-7B;47
MTP-V006L-7C;47
MTP-V300B-1A;116
MTP-V300D-7A;93
MTP-V300G-7A;118
MTP-V300L-1A;89
MTP-VC01D-2E;88
MTP-VC01D-3E;88
MTP-VD01-2E;66
MTP-VD01-5E;66
MTP-VD01B-1B;82
MTP-VD01BL-1B;63
MTP-VD01D-1B;70
MTP-VD01D-1C;70
MTP-VD01D-1E;70
MTP-VD01D-1E2;70
MTP-VD01D-2E;70
MTP-VD01D-3E1;70
MTP-VD01D-3E2;70
MTP-VD01D-4B;70
MTP-VD01G-1B;84
MTP-VD01G-9E;84
MTP-VD01GL-1E;65
MTP-VD01L-1B;60
MTP-VD01L-1E;60
MTP-VD01L-2B;60
MTP-VD01SG-1B;76
MTP-VD02D-1E;70
MTP-VD02D-2E;70
MTP-VD03D-2A;72
MTP-VD03D-3A1;72
MTP-VD03D-7A;72
MTP-VD03G-3A;82
MTP-VD03L-1A;67
MTP-VD300-1B;91
MTP-VD300-3B;91
MTP-VD300-5B;91
MTP-VD300-7B;91
MTP-VD300BL-5E;95
MTP-VD300G-1E;90
MTP-VD300L-1E;85
MTP-VT01D-1B;64
MTP-VT01D-1B2;64
MTP-VT01D-2B;64
MTP-VT01D-7B;64
MTP-VT01G-1B;80
MTP-VT01G-2B;80
MTP-VT01G-5B;80
MTP-VT01G-7B;80
MTP-VT01L-1B2;58
MTP-VT01L-2B;58
MTP-VT01L-7B2;58
MTP-VT01LM-7A;74
MTP-VT03D-1B;70
MTP-VT03D-7B;70
MTP-VT03L-7B;65
MTP-VT04D-7E;70
MTP-VT04D-8E;70
MTP-VT04L-7E;65
MTP-VT04L-8E;65
MTP-W500D-1A;280
MTP-W500D-2A;280
MTP-W500L-2A;275
MTP-W500L-3A;275
MTS-110D-1A;141
MTS-110D-2A;141
MTS-110D-7A;141
MW-240-1B;32
MW-240-1B2;32
MW-240-1E;32
MW-240-1E2;32
MW-240-2B;32
MW-240-3B;32
MW-240-4B;32
MW-240-7B;32
MW-240-7E;32
MW-240B-3B;55
MW-240B-5B;55
MW-59-1B;35
MW-59-1E;35
MW-59-7B;35
MW-59-7E;35
MW-610H-1A;71
MW-610H-2A;71
MW-620H-1A;61
MW-620H-2A;61
MW-620H-3A;61
MWA-100H-7A;86
MWA-300H-2A;145
MWA-300H-3A;145
MWD-110H-3A;100
MWD-110H-8A;100
MWD-110H-8B;100
W-201-1B;40
W-215H-2A;43
W-215H-7A;43
W-216H-2B;48
W-216H-3B;48
W-217H-1A;40
W-217H-3A;40
W-217H-5A;40
W-217H-9A;40
W-217HM-5A;42
W-217HM-7B;42
W-217HM-9A;42
W-218H-1A;43
W-218H-1B;43
W-218H-2A;43
W-218H-3A;43
W-218H-4B;43
W-218H-4B2;43
W-218H-8B;43
W-218HC-2A;45
W-218HC-4A;45
W-218HC-4A2;45
W-218HC-8A;45
W-218HD-1A;60
W-218HM-7A;42
W-219H-1A;48
W-219H-2A;48
W-219H-2A2;48
W-219H-4A;48
W-219H-8B;48
W-219HB-3A;58
W-219HB-5A;58
W-219HC-2B;44
W-219HC-8B;44
W-220H-1A;82
W-220H-1A2;82
W-220H-1A3;82
W-59-1V;37
W-735H-1A;79
W-735H-1A2;79
W-735H-8A2;79
W-737H-1A;60
W-737H-1A2;60
W-737H-2A;60
W-737HX-1A;56
W-800H-1A;48
W-800H-1B;48
W-800H-2A;48
W-800H-5A;48
W-800HG-9A;48
W-96H-1A;48
W-96H-1B;48
W-96H-2A;48
WS-1300H-2A;62
WS-1400H-1A;58
WS-1400H-1B;58
WS-1400H-2A;58
WS-1400H-3A;58
WS-1400H-4A;58
WS-1400H-8B;58
WS-1500H-1A;65
WS-1500H-2A;65
WS-1500H-3B;65
WS-1500H-5B;65
WS-1600H-1A;61
WS-1600H-2A;61
WS-1600H-8A;61
WS-1700H-1A;67
WS-1700H-5A;67
WS-1700H-8A;67
WS-B1000-1A;117
WS-B1000-2A;117
WS-B1000-8B;117
